,Postcode,Borough,Neighborhood,loc,latitude,longitude
0,M1B,Scarborough,"Rouge, Malvern","Scarborough, ON M1B, Canada",43.8066863,-79.1943534
1,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union","Scarborough, ON M1C, Canada",43.78453510000001,-79.1604971
2,M1E,Scarborough,"Guildwood, Morningside, West Hill","Scarborough, ON M1E, Canada",43.7635726,-79.1887115
3,M1G,Scarborough,Woburn,"Scarborough, ON M1G, Canada",43.7709921,-79.2169174
4,M1H,Scarborough,Cedarbrae,"Scarborough, ON M1H, Canada",43.773136,-79.23947609999999
5,M1J,Scarborough,Scarborough Village,"Scarborough, ON M1J, Canada",43.7447342,-79.23947609999999
6,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park","Scarborough, ON M1K, Canada",43.7279292,-79.2620294
7,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge","North York, ON M1L, Canada",43.7111117,-79.2845772
8,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West","Scarborough, ON M1M, Canada",43.716316,-79.23947609999999
9,M1N,Scarborough,"Birch Cliff, Cliffside West","Scarborough, ON M1N, Canada",43.692657,-79.2648481
10,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights","Scarborough, ON M1P, Canada",43.7574096,-79.273304
11,M1R,Scarborough,"Maryvale, Wexford","North York, ON M1R, Canada",43.7500715,-79.2958491
12,M1S,Scarborough,Agincourt,"Scarborough, ON M1S, Canada",43.7942003,-79.2620294
13,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter","Scarborough, ON M1T, Canada",43.7816375,-79.3043021
14,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East","Scarborough, ON M1V, Canada",43.8152522,-79.2845772
15,M1W,Scarborough,L'Amoreaux West,"Scarborough, ON M1W, Canada",43.7995252,-79.3183887
16,M1X,Scarborough,Upper Rouge,"Scarborough, ON M1X, Canada",43.8361247,-79.20563609999999
17,M2H,North York,Hillcrest Village,"North York, ON M2H, Canada",43.8037622,-79.3634517
18,M2J,North York,"Fairview, Henry Farm, Oriole","North York, ON M2J, Canada",43.7785175,-79.3465557
19,M2K,North York,Bayview Village,"North York, ON M2K, Canada",43.7869473,-79.385975
20,M2L,North York,"Silver Hills, York Mills","North York, ON M2L, Canada",43.7574902,-79.37471409999999
21,M2M,North York,"Newtonbrook, Willowdale","North York, ON M2M, Canada",43.789053,-79.40849279999999
22,M2N,North York,Willowdale South,"North York, ON M2N, Canada",43.7701199,-79.40849279999999
23,M2P,North York,York Mills West,"North York, ON M2P, Canada",43.7527583,-79.40004929999999
24,M2R,North York,Willowdale West,"North York, ON M2R, Canada",43.7827364,-79.4422593
25,M3A,North York,Parkwoods,"North York, ON M3A, Canada",43.7532586,-79.3296565
26,M3B,North York,Don Mills North,"North York, ON M3B, Canada",43.7459058,-79.352188
27,M3C,North York,"Flemingdon Park, Don Mills South","Toronto, ON M3C, Canada",43.7258997,-79.34092299999999
28,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights","North York, ON M3H, Canada",43.7543283,-79.4422593
29,M3J,North York,"Northwood Park, York University","North York, ON M3J, Canada",43.7679803,-79.4872619
30,M3K,North York,"CFB Toronto, Downsview East","North York, ON M3K, Canada",43.7374732,-79.4647633
31,M3L,North York,Downsview West,"North York, ON M3L, Canada",43.7390146,-79.5069436
32,M3M,North York,Downsview Central,"North York, ON M3M, Canada",43.7284964,-79.4956974
33,M3N,North York,Downsview Northwest,"North York, ON M3N, Canada",43.7616313,-79.5209994
34,M4A,North York,Victoria Village,"North York, ON M4A, Canada",43.72588229999999,-79.3155716
35,M4B,East York,"Woodbine Gardens, Parkview Hill","Toronto, ON M4B, Canada",43.7063972,-79.30993699999999
36,M4C,East York,Woodbine Heights,"Toronto, ON M4C, Canada",43.6953439,-79.3183887
37,M4E,East Toronto,The Beaches,"Toronto, ON M4E, Canada",43.6763574,-79.2930312
38,M4G,East York,Leaside,"North York, ON M4G, Canada",43.7090604,-79.3634517
39,M4H,East York,Thorncliffe Park,"Toronto, ON M4H, Canada",43.7053689,-79.3493719
40,M4J,East York,East Toronto,"Toronto, ON M4J, Canada",43.685347,-79.3381065
41,M4K,East Toronto,"The Danforth West, Riverdale","Toronto, ON M4K, Canada",43.6795571,-79.352188
42,M4L,East Toronto,"The Beaches West, India Bazaar","Toronto, ON M4L, Canada",43.6689985,-79.3155716
43,M4M,East Toronto,Studio District,"Toronto, ON M4M, Canada",43.6595255,-79.34092299999999
44,M4N,Central Toronto,Lawrence Park,"Toronto, ON M4N, Canada",43.7280205,-79.3887901
45,M4P,Central Toronto,Davisville North,"North York, ON M4P, Canada",43.7127511,-79.3901975
46,M4R,Central Toronto,North Toronto West,"North York, ON M4R, Canada",43.7153834,-79.4056784
47,M4S,Central Toronto,Davisville,"Toronto, ON M4S, Canada",43.7043244,-79.3887901
48,M4T,Central Toronto,"Moore Park, Summerhill East","Toronto, ON M4T, Canada",43.6895743,-79.3831599
