,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Victoria Village,43.7357352,-79.3124184,Jatujak,43.736207542145884,-79.30766830088342,Thai Restaurant
1,Victoria Village,43.7357352,-79.3124184,house of contractors,43.73657410000001,-79.31174329999999,Outdoor Supply Store
2,Victoria Village,43.7357352,-79.3124184,Artistic Nails,43.73612,-79.30808,Spa
3,Victoria Village,43.7357352,-79.3124184,The Prince - Shisha Lounge,43.736602724746405,-79.30781173902841,Middle Eastern Restaurant
4,Victoria Village,43.7357352,-79.3124184,Tagpuan,43.735943360819704,-79.30765061665487,Asian Restaurant
5,Victoria Village,43.7357352,-79.3124184,TTC Bus #24 Victoria Park Ave,43.73519712929972,-79.30697679519653,Bus Line
6,Victoria Village,43.7357352,-79.3124184,Bamboo Garden,43.73596810935831,-79.30623638143747,Chinese Restaurant
7,Victoria Village,43.7357352,-79.3124184,K C McFlys,43.73598654734451,-79.30620886692107,Wings Joint
8,Harbourfront,43.6405521,-79.37893709999999,Lake Ontario,43.63894493157648,-79.37966465950012,Lake
9,Harbourfront,43.6405521,-79.37893709999999,Harbour Square Park,43.63925269130776,-79.37839547902978,Park
10,Harbourfront,43.6405521,-79.37893709999999,Harbourfront,43.639525632239106,-79.38068838052389,Neighborhood
11,Harbourfront,43.6405521,-79.37893709999999,Miku,43.64137436,-79.37753063,Japanese Restaurant
12,Harbourfront,43.6405521,-79.37893709999999,BeaverTails,43.63989909345207,-79.380196784021,Bakery
13,Harbourfront,43.6405521,-79.37893709999999,Real Sports Apparel,43.64285984835777,-79.38018363195047,Sporting Goods Shop
14,Harbourfront,43.6405521,-79.37893709999999,Sharetea-Waterfront,43.640175967763966,-79.37960567018246,Bubble Tea Shop
15,Harbourfront,43.6405521,-79.37893709999999,Real Sports Bar & Grill,43.64255846521551,-79.37996506690979,Sports Bar
16,Harbourfront,43.6405521,-79.37893709999999,Scotiabank Arena,43.64344617535107,-79.37903988889991,Basketball Stadium
17,Harbourfront,43.6405521,-79.37893709999999,Longo's Maple Leaf Square,43.64251679604069,-79.38139301653129,Supermarket
18,Harbourfront,43.6405521,-79.37893709999999,Air Canada Club,43.643224100030416,-79.37915938219528,Lounge
19,Harbourfront,43.6405521,-79.37893709999999,Fleck Dance Theater,43.638300366812686,-79.3804699399247,Dance Studio
20,Harbourfront,43.6405521,-79.37893709999999,Pearl Harbourfront,43.63815654013541,-79.38068763743328,Chinese Restaurant
21,Harbourfront,43.6405521,-79.37893709999999,iQ Food Co,43.642851,-79.382081,Salad Place
22,Harbourfront,43.6405521,-79.37893709999999,Maple Leaf Square,43.64292522840183,-79.38089182467687,Plaza
